question,answer,doctor,link
탈모로 인해서 모발이식을 하려고 생각중입니다.병원 알아보고 있는데 병원이 너무 많아서 어디로 선택해야할지 모르겠습니다모발이식병원 선택할 때 어떤 점을 체크해봐야 할까요?,"['안녕하세요. 하이닥-네이버 지식iN 상담의 박재현 입니다.병원마다 잘하는 특정한 기술이나 시스템이 있는 만큼 어떤 병원이 좋다, 나쁘다고 단정덕으로 말씀드리기는 어렵습니다. 다만, 해당 병원이 가지고 있는 시스템이나 후기 등을 참고하시고 상담을 받아보신다면 본인에게 맞는 병원을 선택할 때 도움이 될 수 있습니다.여러가지 부분을 확인해봐야 하지만 일반인이 바로 알아보기에는 어려운부분이 있을 수 있는 만큼 가장 좋은 팁은 모발이식을 진행할 병원을 직접 내원하여 의료진과 상담을 해보면서 여러가지 사항들을 확인해보는 것이 가장 중요하다고 말씀드릴 수 있습니다.모발이식은 후두부에서 건강한 모발을 채취한 후 환자의 얼굴형에 자연스러운 방향과 각도, 밀도 등을 고려하여 아주 섬세하게 심어야 하는 테크닉이 필요하기 때문에 그만큼 집도의의 섬세한 테크닉이 결과에 있어서 중요한 영향을 끼칠 수 있습니다.이러한 부분 때문에 모발이식병원을 선택함에 있어서 100% 전문의가 직접 진행하면서 환자 개인을 한 명의 집도의가 끝까지 수술을 담당하는 것이 모발이식잘하는곳을 찾기 위한 가장 중요한 점이라 할 수 있을 것 같습니다.이와 더불어 수술을 집도하는 의사가 탈모 상태와 후두부에서 채취 가능한 영역을 직접 진단하고 디자인을 구성하는 등 상담 과정도 함께 책임지고 있어야 하며, 수술 후 필요한 사후관리 및 경과체크도 담당하는 것이 좋습니다.또한 모발이식에서 시행되는 방식은 절개와 비절개 방식이 있는데 두 가지 방식을 모두 집도할 수 있는 곳인지 체크해보는 것을 권해드립니다. 절개와 비절객 방식은 서로 다른 과정으로 진행되기 때문에 각 특징과 장단점도 다르다고 할 수 있습니다.이식 방식에 따라 비용, 소요 시간, 통증, 흉터 등이 달라지며 개인의 후두부 상태에 따라서도 적합한 방식이 달라질 수 있으므로 환자마다 필요한 방식을 제안할 수 있는 곳을 결정하시는 것이 좋습니다.사후관리에 대한 시스템도 확인해봐야 하는 사항이 될 수 있습니다. 이식된 모발 중 정상적으로 자랄 수 있는 비율이 높아야 결과가 만족스러울 수 있습니다.이는 집도의의 숙련도뿐만 아니라 사후관리에도 큰 영향을 받게 됩니다.사람마다 개인 건강상태와 생활패턴 등이 다르기 때문에 생착률이 저하될 수 있는 변수들이 발생할 수 있습니다.원내에서는 지속적으로 경과를 체크하고,적절한 사후관리 치료를 받을 수 있는지도 모발이식병원을 결정하기 위한 방법 중 하나의 체크리스트가 될 수 있겠습니다.모발이식만 집중하여 수술하는 곳인지, 주치의가 직접 상담부터 수술, 사후관리 과정에서 전반적으로 책임지고 담당하고 있는지, 절개와 비절개 방식 모두 집도할 수 있는 지 등을 확인해보시는 것을 권해드리고 싶습니다.모발이식 병원이 많기 때문에 병원마다 성향과 스타일이 다를 수 있기 때문에 수술을 진행하기전 앞서 말씀드린 내용을 꼼꼼하게 체크해보시고 결정을 하셨다면 해당 의료기관의 의료진과 충분한 상담 후 진행하셔서 원하시는 결과를 얻어보시기 바라겠습니다.']",전문의,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70110&docId=477604244&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=1&search_sort=0&spq=0
네번째 손가락 첫 마디가 아픈데 뼈에는 이상이 없는 것 같아서요.. 옆부분?을 누르면 아프고 그냥 있다가도 아프고 구부려도 쫌 아파요 신경과 가야하나요?? 어느 병원 가야할까요?,"['안녕하세요. 하이닥-네이버 지식iN 상담의 이동엽 입니다.신경외과나 정형외과를 내원해 보시면 됩니다.손가락 관절의 문제일 수도 있겠지만손가락의 힘줄이나 근육 파열 등의 문제일 수도 있고염증 관련 문제일 수도 있습니다.자세한 사항은 병원으로 내원하여자세한 검진 및 상담을 통해 알아보시는 것이 좋을 것 같습니다.감사합니다.', '안녕하세요. 대한한의사협회-네이버 지식iN 상담한의사 한창 입니다.네 번째 손가락 첫 마디가아프고, 뼈에는 이상이 없으며옆부분을 누르거나 구부릴 때통증이 있다면, 이는 뼈 자체의 문제보다는연부 조직, 즉인대, 힘줄, 또는 관절 부위의 문제가 있을 가능성이 큽니다. 아래에서 원인과 병원 선택에 대해 설명해드리겠습니다.1. 가능한 원인 분석건염(힘줄염)손가락의 첫 마디(관절 부위)에는 손가락을 움직이게 하는 여러힘줄이 지나갑니다. 만약 힘줄에 염증이 생기면 손가락을 구부리거나 눌렀을 때통증이 발생할 수 있습니다. 이 상태를건염이라고 하며, 반복적인 움직임이나 무리한 사용으로 인해 발생하는 경우가 많습니다.인대 손상손가락 관절 주변에 있는인대가 늘어나거나 염증이 생긴 경우에도 손가락 첫 마디에국소적인 통증이 나타날 수 있습니다. 주로 손가락을 강하게 사용할 때 발생하거나,무리하게 손가락을 꺾었을 때손상될 수 있습니다.방아쇠 수지 증후군(Trigger Finger)손가락을 구부리고 펼 때 첫 마디가걸리는 느낌과 함께 통증이 있다면,방아쇠 수지 증후군일 수 있습니다. 이 경우 힘줄이 손가락의 관절 부위에서 잘 움직이지 않으면서 통증이 발생할 수 있습니다.관절염(류마티스 또는 골관절염)손가락의 첫 마디 부위에염증이 생기면서 지속적인 통증이 있을 수 있습니다. 특히 관절 부위가 붓고, 눌렀을 때 통증이 있다면관절염의 가능성도 배제할 수 없습니다.류마티스 관절염은 주로 양쪽 손가락에서 대칭적으로 나타나며, 아침에 손가락이 굳어 있는 느낌이 들 수 있습니다.2. 어느 병원에 가야 할까요?정형외과손가락 관절과 힘줄, 인대 문제는 대부분정형외과에서 진단하고 치료할 수 있습니다. 특히 손가락을 움직일 때 통증이 느껴지고 관절 부위에 국소적인 문제라고 판단되면, 정형외과에서 엑스레이(X-ray)와초음파 검사등을 통해 연부 조직과 관절 상태를 확인해 볼 수 있습니다.신경과손가락 끝이저리거나 찌릿한 신경 증상이 함께 있다면신경과에서 신경 상태를 확인해 보는 것도 필요할 수 있습니다. 다만, 현재 말씀하신 증상으로는 신경과보다정형외과가 더 적합해 보입니다.류마티스 내과만약관절염이 의심되고, 손가락 관절이 붓거나 아침에뻣뻣함이 느껴진다면류마티스 내과에서 추가적인 검사를 받아볼 필요가 있습니다. 특히 가족력이 있거나 여러 관절에서 유사한 증상이 발생한다면 이쪽으로 가는 것이 좋습니다.3. 현재 상황에서의 대처 방법휴식: 손가락 관절이나 힘줄에 염증이 있을 경우, 가장 중요한 것은휴식입니다. 손가락을 무리하게 사용하지 않도록 주의하고, 통증을 유발하는 행동을 피하세요.냉찜질/온찜질염증이 의심되면 처음에는냉찜질을 통해 염증과 부종을 줄여주는 것이 좋습니다. 이후 통증이 가라앉으면온찜질을 통해 혈액순환을 촉진하고 근육을 이완시킬 수 있습니다.하루에 10-15분 정도씩 냉찜질을 해보시고, 이후 필요에 따라 온찜질을 해보세요.소염제 사용비스테로이드성 소염제(NSAIDs)를 사용하면 통증과 염증을 줄이는 데 도움이 될 수 있습니다. 약물 복용 전에는 자신의 건강 상태에 맞는지 확인하고 복용하세요.보호대 착용손가락의 움직임을 최소화하고 관절을 보호하기 위해손가락 보호대나테이핑을 사용할 수 있습니다. 이는 통증 부위를 안정화하고, 회복을 도와줄 수 있습니다.결론현재 느끼고 있는 손가락 첫 마디 통증은힘줄이나 인대의 염증또는관절 부위의 문제일 가능성이 큽니다. 가장 좋은 선택은정형외과를 방문해 연부 조직과 관절 상태를 평가받는 것입니다. 신경과보다는 정형외과에서 먼저 검사하고, 만약 추가적인 신경 문제가 확인되면 그 후 신경과로 연결되는 것이 좋습니다.손가락이 작고 예민한 부위이기 때문에, 통증을 무시하지 말고 필요한 경우 병원을 방문하여 정확한 진단과 적절한 치료를 받으시길 바랍니다.빠른 회복을 기원합니다!']",전문의,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70106&docId=478641827&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=7&search_sort=0&spq=0
라섹 수술을 하려고 하는데 궁금한 게 있어서 질문드립니다. 라섹 수술을 하기 위해 어떤 병원이 좋은지 알고 싶습니다. 또 라섹 수술 비용은 얼마나 드는지 궁금합니다. 상세한 답변 부탁드립니다.,"['안녕하세요. 하이닥-네이버 지식iN 상담의 이종석 입니다.라섹수술을 하기 위해 좋은 병원을 찾으신다면실력이 풍부한 의료진과 라섹 수술 건수가 많고,수술 전 정밀 검사가 진행되는 안과병원을 찾는 것이 좋습니다.시력 교정 수술은 본인의 눈에 가장 알맞는 수술법을 찾는 것이 중요하며,이러한 수술법은 정밀 검사 장비와 숙련된 검안사의 측정 결과를 통해 결정됩니다.시력교정 외 망막, 녹내장 등 문제가 있을 수 있기 때문에세부 분야까지 체크가 가능한 병원이면 더더욱 좋습니다.라섹 수술 금액의 경우,병원별, 수술별, 이벤트별 상이할 수 있으므로위에서 말씀드린 라섹하기 좋은 병원을 골라병원에서 상담받고 문의해보시는 것을 권해드립니다.답변이 도움되셨으면 좋겠습니다.감사합니다.']",전문의,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70112&docId=477348343&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=9&search_sort=0&spq=0
사고 후유증으로 약간의 불편함을 느끼고 있습니다현재까진 그래도 일상생활이 힘들 정도까진 아니긴 한데듣기로는 후유증은 놔두면 점점 심해지는 경향이 있어서치료가 반드시 필요하다고 하더군요.근방에 한방병원이 있어 가볼까 싶은데교통사고한방병원 가면 보통 어떤 치료를 받게 되나요?,"['안녕하세요, 닥톡-네이버 지식iN 상담한의사 김경훈 입니다.증상들이 서서히 악화되고 있다면 교통사고 후유증을 의심하여 정확한 건강 상태를 점검하기 위해 교통사고한방병원을 찾아보시는 것이 좋습니다.사고 당시에는 특별한 증상이 없었지만 갑자기 각 부위에서 통증을 느끼신다면 교통사고 후유증을 고려해볼 수 있습니다. 사고 후 발생하는 후유증은 일반적으로 2~3일부터 시작하여 몇 주 또는 몇 개월 후에 나타날 수 있습니다.통증이 발생할 수 있는 부위로는 주로 목, 어깨, 허리, 골반, 무릎 등의 근골격계 부위가 있습니다.이러한 증상들의 주요 한방 치료로는 추나요법, 침 치료, 약침 요법, 한약 처방 등이 있습니다. 추나요법은 잘못된 뼈와 근육의 위치를 조정하여 통증을 줄이고, 약침 요법은 침과 한약의 효과를 결합하여 염증을 완화시킵니다. 또한, 치료 과정에서 사용되는 테이핑 요법은 근육을 지지하고 자세를 개선하는 데 도움을 줍니다.치료 후에는 척추의 균형을 바로잡고 근육과 인대를 강화하기 위한 교정 운동을 병행하는 것이 중요합니다. 이는 잘못된 자세를 교정하고, 신체를 더 건강하게 만드는 데 기여합니다. 추가로 한약 복용은 염증을 줄이고 뼈를 강화하여 치료 효과를 극대화합니다.교통사고 후유증은 자연적으로 호전되기 어려운 경우가 많아, 초기부터 전문적인 진단과 치료를 받는 것이 필요합니다.아래 링크는 교통사고로 발생한 급성 요통을 동작 침법으로 완화한 연구에 대한 내용을 담고 있으니 참고하시기 바랍니다.자생한방병원 ""교통사고 급성 요통, 동작침법으로 통증 감소 효과 확인"" - 데일리한국[데일리한국 최성수 기자]자생한방병원은 척추관절연구소 황보승윤 한의사 연구팀이 교통사고로 인한 급성 허리통증 환자를 대상으로 동작침법과 한의통합치료를 병행한 결과 통증 및 가동범위 개선 정도가 한의...daily.hankooki.com']",한의사,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70308&docId=478373482&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=10&search_sort=0&spq=0
"2주전쯤부터 왼쪽 약지와 새끼손가락쪽이 조금씩 저립니다.일상생활에 별문제는 없고, 크게 다친적도 없습니다.그런데 저때부터 손가락이 한번 저리더니 아직까지 계속 저립니다.혹시 이런증상은 어떤 병원을 가보는게 좋나요?",['안녕하세요. 대한의사협회·네이버 지식iN 상담의사 정현화 입니다.경추 문제 일수 있어요.신경외과 진료 받아 보세요.진찰 받아 보세요'],전문의,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70103&docId=478737501&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=11&search_sort=0&spq=0
올해2월달쯤에 무릎을 다쳤는데 병원에서는 내측인대 파열이라고 하셔서 운동 쫌 쉬고 치료했는데 8~9달 사이에 부쩍 다시 아프기 시작했는데 한번 큰병원에 가서 정확하게 진료 받아보고 싶습니다 근데 어떤 병원을 가야될지모르겠습니다 어떤 병원이 무릎을 잘보는지 어떤 선생님이 잘보시는지 혹시 아는분 계시면 알려주세요!,"['안녕하세요. 하이닥-네이버 지식iN 상담의 김정석 입니다.MRI 검사가 시행되고 무릎 관절경 수술을 많이 하는 관절전문병원을 찾아가서 진료 받는 것이 좋을 것 같습니다.MRI를 찍고 영상을 올려주면 수술이 필요할지, 비수술로 가능할지 더 정확히 코멘트 해드릴 수 있을 것 같습니다.']",전문의,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70106&docId=477707214&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=13&search_sort=0&spq=0
"요즘 뒷목에 통증이 생겼는데 원인은 정확하지않지만 장거리 운전을 오래해서 어느순간부터 생긴것으로 생각됩니다..그래서 목에 힘을주고있을때나 숙이는동작할때 통증이 느껴지고잘 때 거북이자세로 자는데 그때도 머리를 숙이니 통증이 있습니다.제 증상이 무엇인지, 어떤병원(정형외과?한의원?)를 가야하는지, 어떤치료를 해야할 지 알려주세요ㅠ","['안녕하세요. 하이닥-네이버 지식iN 상담의 김영준 입니다.문의해 주셔서 감사합니다. 질문자님께서 뇌질환을 의심하고 계신 듯한데요.질문자님께서 작성하신 증상만으로 어떤 종류의 뇌질환이다라고 곧바로 진단할 수 있으면 좋겠습니다만, 뇌질환을 확정하는 특정한 증상이 따로 있는 것이 아니기 때문에 의심되는 증상이 발생하였다면 꼭 뇌질환이 아니더라도 병원에 가 보시는 것이 좋겠습니다. 뇌질환을 진단하기 위해서 기본적으로 뇌에 대한 영상 검사가 필수적이기 때문에 CT 나 MRI 가 가능한 병원에 신경과나 신경외과를 방문해서 진료를 받으시기 바랍니다. CT는 보험적용이 가능하나 MRI 는 2018년 10월부터 보험적용이 일부 되기는 했지만 의사의 소견상에서 반드시 MRI 검사가 필요하다고 판단되는 경우로 간혹 중요한 뇌질환의 진단이 되지 않으면 보험이 되지 않아 고가의 검사가 됨을 참고로 진행하시면 되겠습니다. 답변이 도움이 되었기를 바랍니다. 감사합니다.']",전문의,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70107&docId=468973051&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=15&search_sort=0&spq=0
제가 그저께부터 입맛이 아예없고 밥 먹으면속이 울렁거리고 좀 답답해요 설사도 하고원래 입맛이 없는 편이 절대 아니라 좀 궁금해요직접적으로 배가 막 아픈건 아니에요생리 중이긴 한데 생리통은 평소에 아예 없어서생리통은 아닌거 같기도 하고 ....이럴 땐 어떤 병원 가야하나요,['안녕하세요. 대한의사협회·네이버 지식iN 상담의사 김철수 입니다.우선 동네 내과부터 가시기 바랍니다'],전문의,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=7010102&docId=478627305&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=17&search_sort=0&spq=0
어제 새벽엔 발 뒤꿈치가 찌릿찌릿? 했는데 시간이 갈 수록 그 찌릿찌릿? 누가 찌르는 느낌? 이 허벅지로 올라와서 뒤꿈치+허벅지가 아프더니 오후엔 갈비뼈 까지 통증이 올라왔는데 어떤 병원을 가야하나요..? 마취통증을 가야하나요 신경외과를 가야하나요? 만지면 당연히 아프고 가만히 있으면 주기 같은 것도 없이 자꾸 누가 찌르는 것처럼 찌릿찌릿 하고 아파서 저도 모르게 아! 이러면서 인상쓰게 돼여ㅜㅜㅜㅜㅜㅜㅜ,"['안녕하세요. 하이닥-네이버 지식iN 상담의 김우일 입니다.작성하신 내용으로 보면, 신경통의 양상으로 하지 방사통이라 생각됩니다.이질통이라 보통 부르는데, 통증의학과나 신경외과 진료 권유드립니다.']",전문의,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70119&docId=477097707&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=19&search_sort=0&spq=0
제가 요 몇 주동안 머리가 찌릿거리면서 아프고 귀도 먹먹하면서 잘 안 들려요 이게 오래가는 건 아니고 30초~1분 정도?그리고 눈도 뭔가 이물질 낀 것마냥 불편할 때가 종종 있고요..가끔은 심호흡을 해도 숨 쉬는 게 좀 힘들고 속도 토할것처럼 울렁거릴 때가 있어요왜 이러는 걸까요 어떤 병원을 가야 하나요..너무 아프고 힘들어서 질문합니다,"['안녕하세요. 하이닥-네이버 지식iN 상담의 박종원 입니다.증상 부위 모두순환장애에 의한 증상으로 생각됩니다.뒷목과 상부 흉추가 오랫동안 경직되면나타나는 현상으로치료는 뒷목의 두판상근과 1,2,3,4번 흉추의 심부근육을 확인하여근긴장이 확인되면머리와 안면, 눈, 귀의 미세혈류장애 호전을 위한 근육이완 치료를 하게 됩니다.보통은 주사치료를 포함해서 물리치료,도수치료 등을 흔하게 합니다.가까운 곳의 신경통증관련 병원들을 2곳 이상 방문해 보시는 것이 도움이 되고직접 치료를 받아보시면 좋겠습니다.고가의 검사보다는 정확한 진찰이 중요하겠습니다.']",전문의,https://kin.naver.com/qna/detail.naver?d1id=7&dirId=70103&docId=464833423&qb=7Ja065akIOuzkeybkA==&enc=utf8&section=kin.qna&rank=20&search_sort=0&spq=0
